Nombre,Director,Duracion,Genero,Clasificacion,Sinopsis,Pais
UNA VOZ SILENCIOSA: KOE NO KATACHI,Naoko Yamada,129 min.,Animación,G,¿Te has arrepentido de algo? Shoya era un niño que molestó a Shoko la nueva niña del salón por ser sorda. Las burlas de este continuaron hasta que Shoko se cambió de escuela. Varios años después un atormentado Shoya busca reencontrarse con su ex-compañera y redimirse ¿Podrá ella perdonarlo o será demasiado tarde?,Japón
CLUB WIKEN: LOS NIÑOS,Maite Alberdi,82 min.,Documental,TE,"Un grupo de amigos con Síndrome de Down lleva 40 años asistiendo al mismo colegio, ya pasaron todos los cursos, llevan más tiempo ahí que todos los profesores, y hasta sus padres que antes los acompañaban, ya no están. Ahora deberán luchar por conseguir un mejor trabajo, ganar dinero como cualquier persona, aprender a cuidarse solos y a conseguir que, a sus 50 años, ya nadie los mire como niños. Lo harán todo para que nadie interfiera con sus sueños de adultos.",Chile
EL REY ARTURO,Guy Ritchie,126 min.,Aventura,TE+7,"Cuando Vortiger (Jude Law), tío de Arturo, asesina a su padre y se apodera de la corona, Arthur, es despojado de su derecho de nacimiento sin idea de quién es realmente. El niño crece de la manera difícil en los callejones de la ciudad. Pero una vez que saca la espada de la piedra, su vida da un vuelco y se ve obligado a reconocer su verdadero legado...le gusta o no.",Reino Unido
LA MORGUE,André Øvredal,87 min.,Terror,Mayores de 14,"El dueño de una funeraria de una pequeña localidad y su hijo, que trabaja con él, reciben un día el cadáver de la víctima de un misterioso crimen: una bella joven que no tiene ninguna causa aparente de muerte. Ambos intentarán desvelar los intrigantes motivos del fallecimiento de la joven.",Estados Unidos
MALA JUNTA,Claudia Huaiquimilla,91 min.,Drama,TE+7,"Tano, un cabro revoltoso, es enviado al sur a vivir con su padre: si no se comporta ingresará al Sename. Disconforme con su nueva vida rural conoce a Cheo, un tímido niño que vive en territorio mapuche y que lidia con el bullying que le hacen sus compañeros de liceo. Juntos forman una impensada amistad, que los ayuda a enfrentar los prejuicios del mundo que los rodea.",Chile
SI NO DESPIERTO,Ry Russo-Young,99 min.,Thriller,Mayores de 14,"Imagina que solo te queda un día de vida ¿Qué harías? ¿A quién besarías? ¿Hasta dónde llegarías para librarte de morir? Samantha Kingston lo tiene todo a su favor: es guapa, es popular y sale con el chico perfecto. El viernes 12 de febrero deberìa ser un día más en su fácil vida, pero no lo es: es el último día. O más bien los últimos, porque Samantha se despierta un ay otra vez en la mañana del viernes 12 de febrero y vuelve a vivir la misma jornada siete veces. Hasta que se da cuenta de que en su mano está realizar cambios minúsculos que supondrán diferencias enormes.",Estados Unidos
UN DON EXCEPCIONAL,Marc Webb,101 min.,Drama,TE,"Frank Adler (Chris Evans) es un hombre soltero que crió a su sobrina Mary (Mckenna Grace) una niña talentosa, en una ciudad en la costa de Florida. Frank quiere para Mary una vida normal pero las habilidades matemáticas a los siete años de la niña llaman la atención de la madre de Frank, Evelyn (Lindsay Duncan) cuyos planes amenazan con separar a Frank y Mary. Octavia Spencer interpreta a Roberta, la casera y mejor amiga de Frank y Mary. Bonnie (Jenny Slate) es la maestra de Mary, una mujer joven cuya preocupación por su estudiante se convierte también en una conexión con su tío.",Estados Unidos
HUYE,Jordan Peele,104 min.,Thriller,Mayores de 14,"Cuando un joven afroamericano visita a la familia de su novia, se enreda en una razón aún más siniestra y real que la misma invitación. Ahora que Chris (Daniel Kaluuya, Sicario) y su novia, Rose (Allison Williams, serie de HBO Girls), han alcanzado la etapa de “conocer a los padres”, ella lo invita a pasar un fin de semana al norte del estado, con Missy (Catherine Keener, Capitán Phillips) y Dean (Bradley Whitford, La cabaña de terror). Al principio, Chris interpreta el extraño comportamiento de la familia como una forma de lidiar con la relación interracial de su hija, pero conforme el fin de semana avanza, una serie de descubrimientos cada vez más inquietantes lo llevan a una verdad que nunca podría haber imaginado.",Estados Unidos
MIO O DE NADIE,Denise Di Novi,100 min.,Thriller,Mayores de 14,Una mujer se propone hacer el infierno de la vida para la nueva esposa de su ex marido.,Estados Unidos
SE BUSCA NOVIO PARA MI MUJER,Diego Rougier,100 min.,Comedia Romantica,TE+7,"Daniel alcanzó el límite de su paciencia con su mujer. La extremadamente temperamental Natalia está siempre protestando. Pero Daniel no tiene el coraje para pedir el divorcio. Así, acepta el consejo de sus amigos de contratar a un famoso Don Juan local para que seduzca a su mujer y sea ella quien lo abandone.",Chile
GUARDIANES DE LA GALAXIA VOL 2,James Gunn,137 min.,Acción,TE,"Ambientada en el nuevo contexto sonoro de “Awesome Mixtape #2”, GUARDIANES DE LA GALAXIA VOL. 2, de Marvel, continúa las aventuras del equipo en su travesía por los confines del cosmos. Los Guardianes deberán luchar para mantener unida a su nueva familia mientras intentan resolver el misterio del verdadero linaje de Peter Quill. Viejos rivales se convertirán en nuevos aliados y los personajes favoritos de los cómics clásicos acudirán en ayuda de nuestros héroes a medida que el Universo Cinematográfico de Marvel continúa expandiéndose.",Estados Unidos
MADRE,Aaron Burns,94 min.,Thriller,Mayores de 14,"Diana Prieto está embarazada y el cuidado de su primer hijo autista Martín se ha vuelto abrumador. No tiene a nadie que le ayude mientras su marido Tomas pasa meses trabajando en Asia. Diana está a punto de colapsar con Martín cuando Luz, una nana de las Filipinas, entra a su vida para ayudar. Martín comienza rápidamente a mejorar bajo la supervisión de Luz, pero Diana está preocupada de que sólo se le enseñe a hablar filipino. Diana comienza a sospechar que Luz está utilizando la barrera del idioma y el vudú para convertir a Martín contra Diana y en algo mucho más siniestro.",Chile
UN GOLPE CON ESTILO,Zach Braff,96 min.,Comedia,TE+7,"Willie (Morgan Freeman), Joe (Michael Caine) y Al (Alan Arkin) son tres amigos jubilados a los que el sistema les ha congelado su plan de pensiones. Desesperados porque no pueden pagar las facturas, están decididos a recuperar su dinero. Los tres ancianos deciden entonces arriesgarlo todo y embarcarse en un temerario plan que consiste en atracar al mismísimo banco que se quedó con su dinero.",Chile
RAPIDOS Y FURIOSOS 8,F. Gary Gray,136 min.,Acción,Mayores de 14,"Cuando una mujer misteriosa seduce a Dom en el mundo del crimen y traicionando a sus más cercanos, el equipo de globetrotting se enfrentará a difíciles situaciones que los probarán como nunca antes.",Estados Unidos
